Random seed for torch and numpy: 4529
Epoch 0/5001 | Loss: 1087949.250000 | Time: 1.5171 sec
Epoch 1/5001 | Loss: 476474.406250 | Time: 1.5329 sec
Epoch 2/5001 | Loss: 324034.812500 | Time: 4.2580 sec
Epoch 3/5001 | Loss: 727225.562500 | Time: 1.7237 sec
Epoch 4/5001 | Loss: 146349.375000 | Time: 1.4847 sec
Epoch 5/5001 | Loss: 95925.656250 | Time: 1.4727 sec
Epoch 6/5001 | Loss: 95254.210938 | Time: 1.6635 sec
Epoch 7/5001 | Loss: 99052.000000 | Time: 1.4827 sec
Epoch 8/5001 | Loss: 39733.949219 | Time: 1.5288 sec
Epoch 9/5001 | Loss: 29629.853516 | Time: 1.6121 sec
Epoch 10/5001 | Loss: 32444.712891 | Time: 1.8309 sec
Epoch 11/5001 | Loss: 22912.128906 | Time: 1.7366 sec
Epoch 12/5001 | Loss: 16095.098633 | Time: 1.6051 sec
Epoch 13/5001 | Loss: 14568.438477 | Time: 1.5739 sec
Epoch 14/5001 | Loss: 13325.452148 | Time: 1.5936 sec
Epoch 15/5001 | Loss: 12302.221680 | Time: 2.0863 sec
Epoch 16/5001 | Loss: 11172.922852 | Time: 2.1133 sec
Epoch 17/5001 | Loss: 10292.011719 | Time: 1.5141 sec
Epoch 18/5001 | Loss: 9708.848633 | Time: 1.6993 sec
Epoch 19/5001 | Loss: 9240.535156 | Time: 1.5655 sec
Epoch 20/5001 | Loss: 8844.182617 | Time: 1.6205 sec
Epoch 21/5001 | Loss: 8495.961914 | Time: 1.5559 sec
Epoch 22/5001 | Loss: 8171.265625 | Time: 1.6006 sec
Epoch 23/5001 | Loss: 7854.258789 | Time: 1.6683 sec
Epoch 24/5001 | Loss: 7610.291016 | Time: 1.6270 sec
Epoch 25/5001 | Loss: 7403.718750 | Time: 1.5331 sec
Epoch 26/5001 | Loss: 7215.457520 | Time: 1.5925 sec
Epoch 27/5001 | Loss: 7035.160645 | Time: 1.8562 sec
Epoch 28/5001 | Loss: 6864.586914 | Time: 1.5660 sec
Epoch 29/5001 | Loss: 6725.878906 | Time: 1.6005 sec
Epoch 30/5001 | Loss: 6602.710938 | Time: 2.4281 sec
Epoch 31/5001 | Loss: 6487.793457 | Time: 1.4604 sec
Epoch 32/5001 | Loss: 6379.509766 | Time: 1.4919 sec
Epoch 33/5001 | Loss: 6275.861816 | Time: 1.6915 sec
Epoch 34/5001 | Loss: 6178.471680 | Time: 1.5256 sec
Epoch 35/5001 | Loss: 6091.610840 | Time: 1.4939 sec
Epoch 36/5001 | Loss: 6012.425781 | Time: 1.6663 sec
Epoch 37/5001 | Loss: 5939.796875 | Time: 1.5967 sec
Epoch 38/5001 | Loss: 5873.186035 | Time: 1.5688 sec
Epoch 39/5001 | Loss: 5811.429688 | Time: 1.6521 sec
Epoch 40/5001 | Loss: 5753.602051 | Time: 1.6251 sec
Epoch 41/5001 | Loss: 5699.048828 | Time: 1.5223 sec
Epoch 42/5001 | Loss: 5647.178711 | Time: 1.5856 sec
Epoch 43/5001 | Loss: 5597.540039 | Time: 1.6442 sec
Epoch 44/5001 | Loss: 5549.743652 | Time: 1.7771 sec
Epoch 45/5001 | Loss: 5503.511230 | Time: 1.5822 sec
Epoch 46/5001 | Loss: 5458.547363 | Time: 1.6462 sec
Epoch 47/5001 | Loss: 5414.703613 | Time: 1.5568 sec
Epoch 48/5001 | Loss: 5371.820801 | Time: 1.5492 sec
Epoch 49/5001 | Loss: 5329.750977 | Time: 1.6279 sec
Epoch 50/5001 | Loss: 5288.346680 | Time: 1.6507 sec
Epoch 51/5001 | Loss: 5247.582520 | Time: 1.5070 sec
Epoch 52/5001 | Loss: 5207.355957 | Time: 1.5726 sec
Epoch 53/5001 | Loss: 5167.590332 | Time: 1.6952 sec
Epoch 54/5001 | Loss: 5128.198242 | Time: 1.5628 sec
Epoch 55/5001 | Loss: 5089.145996 | Time: 1.5696 sec
Epoch 56/5001 | Loss: 5050.351074 | Time: 2.6567 sec
Epoch 57/5001 | Loss: 5011.749023 | Time: 1.7869 sec
Epoch 58/5001 | Loss: 4973.296387 | Time: 1.5524 sec
Epoch 59/5001 | Loss: 4934.901855 | Time: 1.5707 sec
Epoch 60/5001 | Loss: 4896.515625 | Time: 1.6650 sec
Epoch 61/5001 | Loss: 4858.167969 | Time: 1.6208 sec
Epoch 62/5001 | Loss: 4819.875000 | Time: 1.5378 sec
Epoch 63/5001 | Loss: 4781.521973 | Time: 1.6026 sec
Epoch 64/5001 | Loss: 4743.018066 | Time: 1.6213 sec
Epoch 65/5001 | Loss: 4704.396484 | Time: 1.5576 sec
Epoch 66/5001 | Loss: 4665.697266 | Time: 1.5642 sec
Epoch 67/5001 | Loss: 4626.813477 | Time: 1.6066 sec
Epoch 68/5001 | Loss: 4587.757812 | Time: 1.5418 sec
Epoch 69/5001 | Loss: 4548.679688 | Time: 1.5513 sec
Epoch 70/5001 | Loss: 4509.612793 | Time: 1.6607 sec
Epoch 71/5001 | Loss: 4470.682617 | Time: 1.4766 sec
Epoch 72/5001 | Loss: 4431.787598 | Time: 1.5766 sec
Epoch 73/5001 | Loss: 4393.053711 | Time: 1.5049 sec
Epoch 74/5001 | Loss: 4354.395508 | Time: 1.5928 sec
Epoch 75/5001 | Loss: 4315.837891 | Time: 1.4706 sec
Epoch 76/5001 | Loss: 4277.321777 | Time: 1.5129 sec
Epoch 77/5001 | Loss: 4238.528320 | Time: 1.6195 sec
Epoch 78/5001 | Loss: 4198.466797 | Time: 1.5188 sec
Epoch 79/5001 | Loss: 4155.701172 | Time: 1.5542 sec
Epoch 80/5001 | Loss: 4107.836426 | Time: 1.6123 sec
Epoch 81/5001 | Loss: 4050.940430 | Time: 1.5042 sec
Epoch 82/5001 | Loss: 3974.050537 | Time: 1.5385 sec
Epoch 83/5001 | Loss: 3844.548096 | Time: 1.6509 sec
Epoch 84/5001 | Loss: 3826.168701 | Time: 1.5215 sec
Epoch 85/5001 | Loss: 3779.791016 | Time: 1.5691 sec
Epoch 86/5001 | Loss: 3809.360596 | Time: 1.5396 sec
Epoch 87/5001 | Loss: 3841.632812 | Time: 1.6182 sec
Epoch 88/5001 | Loss: 3842.716064 | Time: 1.5702 sec
Epoch 89/5001 | Loss: 3825.302734 | Time: 1.5964 sec
Epoch 90/5001 | Loss: 3789.306396 | Time: 1.5834 sec
Epoch 91/5001 | Loss: 3725.469971 | Time: 1.5302 sec
Epoch 92/5001 | Loss: 3673.378174 | Time: 1.5479 sec
Epoch 93/5001 | Loss: 3667.898193 | Time: 1.5981 sec
Epoch 94/5001 | Loss: 3663.914795 | Time: 1.5120 sec
Epoch 95/5001 | Loss: 3656.345947 | Time: 1.5815 sec
Epoch 96/5001 | Loss: 3647.189697 | Time: 1.5320 sec
Epoch 97/5001 | Loss: 3637.350098 | Time: 1.6054 sec
Epoch 98/5001 | Loss: 3624.408691 | Time: 1.5367 sec
Epoch 99/5001 | Loss: 3606.606934 | Time: 1.5348 sec
Epoch 100/5001 | Loss: 3584.862305 | Time: 1.6213 sec
Epoch 101/5001 | Loss: 3560.676025 | Time: 1.5349 sec
Epoch 102/5001 | Loss: 3536.288086 | Time: 1.5291 sec
Epoch 103/5001 | Loss: 3514.957031 | Time: 1.6044 sec
Epoch 104/5001 | Loss: 3496.551025 | Time: 1.5285 sec
Epoch 105/5001 | Loss: 3482.612061 | Time: 1.5153 sec
Epoch 106/5001 | Loss: 3476.674805 | Time: 1.4422 sec
Epoch 107/5001 | Loss: 3469.249756 | Time: 1.6219 sec
Epoch 108/5001 | Loss: 3453.261719 | Time: 1.5421 sec
Epoch 109/5001 | Loss: 3431.894531 | Time: 1.5106 sec
Epoch 110/5001 | Loss: 3411.564697 | Time: 1.6039 sec
Epoch 111/5001 | Loss: 3396.500244 | Time: 1.5956 sec
Epoch 112/5001 | Loss: 3385.566650 | Time: 1.5579 sec
Epoch 113/5001 | Loss: 3375.666748 | Time: 1.7243 sec
Epoch 114/5001 | Loss: 3364.654541 | Time: 1.6555 sec
Epoch 115/5001 | Loss: 3351.875732 | Time: 1.6189 sec
Epoch 116/5001 | Loss: 3337.292236 | Time: 1.6347 sec
Epoch 117/5001 | Loss: 3321.325439 | Time: 1.6923 sec
Epoch 118/5001 | Loss: 3305.224365 | Time: 1.6293 sec
Epoch 119/5001 | Loss: 3290.380615 | Time: 1.5564 sec
Epoch 120/5001 | Loss: 3277.396973 | Time: 1.6959 sec
Epoch 121/5001 | Loss: 3265.854736 | Time: 1.6395 sec
Epoch 122/5001 | Loss: 3253.966553 | Time: 1.6266 sec
Epoch 123/5001 | Loss: 3240.808350 | Time: 1.7341 sec
Epoch 124/5001 | Loss: 3226.540039 | Time: 1.5847 sec
Epoch 125/5001 | Loss: 3211.852295 | Time: 1.6269 sec
Epoch 126/5001 | Loss: 3197.517090 | Time: 1.6176 sec
