Loaded /home/judson/Neural-Networks-in-GNC/inverted_pendulum/training/controller_base.pth as base controller
average_normalized/constant/controllers/controller_0.pth saved with loss: 1087.9490966796875
average_normalized/constant/controllers/controller_1.pth saved with loss: 490.75341796875
average_normalized/constant/controllers/controller_2.pth saved with loss: 312.3319396972656
average_normalized/constant/controllers/controller_3.pth saved with loss: 207.35940551757812
average_normalized/constant/controllers/controller_4.pth saved with loss: 141.8478240966797
average_normalized/constant/controllers/controller_5.pth saved with loss: 153.2593536376953
average_normalized/constant/controllers/controller_6.pth saved with loss: 183.9130859375
average_normalized/constant/controllers/controller_7.pth saved with loss: 182.892333984375
average_normalized/constant/controllers/controller_8.pth saved with loss: 184.9663848876953
average_normalized/constant/controllers/controller_9.pth saved with loss: 190.65370178222656
average_normalized/constant/controllers/controller_10.pth saved with loss: 177.59759521484375
average_normalized/constant/controllers/controller_11.pth saved with loss: 150.35174560546875
average_normalized/constant/controllers/controller_12.pth saved with loss: 120.16986083984375
average_normalized/constant/controllers/controller_13.pth saved with loss: 92.91024780273438
average_normalized/constant/controllers/controller_14.pth saved with loss: 63.549137115478516
average_normalized/constant/controllers/controller_15.pth saved with loss: 50.680484771728516
average_normalized/constant/controllers/controller_16.pth saved with loss: 42.914878845214844
average_normalized/constant/controllers/controller_17.pth saved with loss: 30.969497680664062
average_normalized/constant/controllers/controller_18.pth saved with loss: 24.494678497314453
average_normalized/constant/controllers/controller_19.pth saved with loss: 22.79924964904785
average_normalized/constant/controllers/controller_20.pth saved with loss: 19.7607479095459
average_normalized/constant/controllers/controller_21.pth saved with loss: 18.79807472229004
average_normalized/constant/controllers/controller_22.pth saved with loss: 18.196372985839844
average_normalized/constant/controllers/controller_23.pth saved with loss: 17.862667083740234
average_normalized/constant/controllers/controller_24.pth saved with loss: 17.69695472717285
average_normalized/constant/controllers/controller_25.pth saved with loss: 17.735563278198242
average_normalized/constant/controllers/controller_26.pth saved with loss: 18.34331512451172
average_normalized/constant/controllers/controller_27.pth saved with loss: 18.648853302001953
average_normalized/constant/controllers/controller_28.pth saved with loss: 13.696430206298828
